"State","STABBR","Density_sq_mi","Population","LandArea_sq_mi","Total_Employment_Rate_Pct","Annual_Change_Pct_Employed","GDP_Pct_Change","Income2023","Income2019","Income2015","ResearchExpenditures_in_Millions","ResearchExpenditures_per_capita","ResearchExpenditures_Federal_Govt_pct","ResearchExpenditures_GDP_pct","Poverty_Pct","Number_in_Poverty","SA_UnemploymentRate","Pct_Forested","Gun_Suicide_Rate","Suicide_Rate","Gun_Homicide_Rate","Homicide_Rate","Pct_Gun_At_Home"
"Montana","MT","7.8","1,132,812","145,546","61.4% ","+1.2% ","4.2% ","$70,804","$57,153","$49,509","608","437","10.7% ","1.18%","11.7% ","129,804",2.4,"27.45%",21.6,31.7,"2.7",4.2,"65%"
"Nebraska","NE","26","1,978,379","76,824","68.1% ","+0.5% ","7.5% ","$74,590","$63,229","$54,996","1,492","601","2.6% ","1.16%","10.5% ","202,078",1.9,"3.20%",7.4,14.7,"2.3",3.6,"39%"
"Nevada","NV","29","3,194,176","109,781","57.9% ","+2% ","6.3% ","$76,634","$63,276","$52,431","1,252","406","1.6% ","0.73%","12% ","377,506",5.4,"15.89%",13.1,22,"6.3",8.4,"33%"
"New Hampshire","NH","157","1,402,054","8,953","64.5% ","+0.9% ","4.5% ","$96,838","$77,933","$70,303","3,332","2,298","1.9% ","3.91%","7.2% ","97,935",1.8,"84.32%",8,16.1,NA,1.1,"46%"
"New Jersey","NJ","1,263","9,290,842","7,354","61.5% ","+2.7% ","4.8% ","$99,781","$85,751","$72,222","24,121","2,604","2.4% ","3.90%","9.7% ","886,772",3.7,"41.72%",2.1,7.4,"3.0",4.4,"9%"
"New Mexico","NM","17","2,114,371","121,298","54.2% ","+1.7% ","5.7% ","$62,268","$51,945","$45,382","8,438","3,388","8.2% ","8.41%","17.8% ","368,669",3.5,"31.99%",14.4,25.2,"10.9",14.5,"36%"
"New York","NY","415","19,571,216","47,126","57.7% ","+2.4% ","3.5% ","$82,095","$72,108","$60,850","36,559","1,343","3.8% ","2.15%","14.2% ","2,702,955",3.9,"62.88%",2.2,8.4,"3.1",4.6,"14%"
"North Carolina","NC","223","10,835,491","48,618","58.7% ","+2.2% ","4.6% ","$70,804","$57,341","$47,830","18,064","1,488","1.9% ","3.08%","12.8% ","1,349,302",3.3,"59.73%",8.7,13.7,"8.1",9.4,"37%"
"North Dakota","ND","11","783,926","69,001","67.8% ","+1.3% ","2.9% ","$76,525","$64,577","$60,557","679","795","5.4% ","1.26%","9.8% ","73,841",2,"1.72%",13.2,20.1,"2.6",3.1,"53%"
"Ohio","OH","288","11,785,935","40,861","59% ","+0.8% ","4.6% ","$67,769","$58,642","$51,075","16,647","1,235","11.3% ","2.47%","13.3% ","1,527,904",3.4,"30.92%",8.4,15,"7.4",8.7,"42%"
"Oklahoma","OK","59","4,053,824","68,595","59.1% ","+0.8% ","6% ","$62,138","$54,449","$48,568","1,892","425","9.8% ","1.01%","15.9% ","626,185",2.7,"28.80%",13.8,22,"6.4",8.6,"55%"
"Oregon","OR","44","4,233,358","95,988","60.2% ","+1.4% ","4.8% ","$80,160","$67,058","$54,148","11,537","2,326","0.8% ","4.61%","12.2% ","506,544",3.5,"48.51%",11.9,20.9,"3.4",4.8,"41%"
"Pennsylvania","PA","290","12,961,683","44,743","59.1% ","+1.4% ","5.6% ","$73,824","$63,463","$55,702","21,687","1,383","1.9% ","2.78%","12% ","1,500,959",3.8,"58.60%",7.7,14.5,"6.6",8.5,"40%"
"Rhode Island","RI","1,060","1,095,962","1,034","61.3% ","+1.2% ","3.9% ","$84,972","$71,169","$58,073","1,638","1,351","21.4% ","2.72%","10.8% ","114,412",2.9,"54.38%",3.3,10.7,"2.5",3.7,"14%"
